id, x, y, freq, label
438, -72.363510, 35.511520, 104, inside
439, -66.059601, 30.254057, 100, side
440, -54.250412, 35.122517, 100, media
441, -38.501041, 2.263774, 102, liberation
442, -70.408859, 29.142553, 98, madison
443, -62.542061, 22.221306, 100, rhetoric
444, -55.849129, 4.919297, 102, frances
445, -58.835068, 34.054153, 92, black
446, -49.317097, 33.421066, 102, tom
447, -59.648613, 14.521828, 102, start
448, -64.737083, 32.461712, 100, white
449, -70.298889, 32.002647, 96, god
450, -58.150684, 24.789198, 96, south
451, -65.797188, 26.742584, 102, list
452, -55.979641, 16.602753, 100, fight
453, -67.834160, 23.481026, 98, considered
454, -52.235287, 29.522385, 94, bishop
455, -49.324581, 29.199171, 100, william
456, -65.889565, 26.036827, 98, charge
457, -73.195312, 15.043810, 94, decades
458, -71.733376, 28.144651, 94, wells
459, -45.703907, 18.925707, 100, libraries
460, -70.322464, 24.900890, 96, better
461, -78.166077, 26.547636, 64, seven
462, -73.103424, 12.345969, 98, care
463, -73.971741, 17.083593, 92, collins
464, -67.375130, 30.244600, 98, names
465, -62.334629, 29.155256, 100, personal
466, -71.661034, 24.733381, 100, private
467, -63.164623, 21.065405, 96, minorities
468, -64.898407, 28.128263, 98, trying
469, -47.385414, 32.940220, 2, http
470, -52.719948, 11.835250, 92, commission
471, -67.268875, 35.638252, 98, meant
472, -50.108002, 28.898031, 96, october
473, -69.527214, 23.071505, 96, tion
474, -51.257221, 18.703411, 98, edition
475, -66.969589, 29.708607, 92, including
476, -67.463257, 30.275967, 92, behind
477, -61.741684, 14.395525, 96, system
478, -67.121284, 36.685753, 96, individuals
479, -78.175842, 26.477474, 32, forty
480, -70.158127, 24.907900, 94, publicly
481, -69.594742, 31.367601, 96, dancing
482, -60.995697, 14.852199, 96, san
483, -48.326763, 31.493500, 86, magazine
484, -50.472515, 31.333715, 96, carol
485, -50.689476, 27.931959, 96, newspaper
486, -50.081764, 27.143337, 90, fire
487, -53.589695, 20.727957, 82, attorney
488, -65.081665, 29.948555, 90, neighborhood
489, -64.095993, 11.057596, 94, meet
490, -61.519840, 11.415181, 92, occurred
491, -58.352001, 18.447525, 84, priest
492, -58.161537, 39.487507, 92, radical
493, -66.368469, 24.627115, 94, given
494, -64.449913, 13.447245, 8, ered
495, -55.580059, 33.543407, 90, mass
496, -72.298897, 15.765809, 92, remembered
497, -48.122383, 5.157031, 84, pandora
498, -56.966835, 13.128964, 94, medical
499, -72.537575, 36.765865, 94, feel
500, -70.114197, 30.131435, 92, garden
501, -57.910149, 15.137446, 92, license
502, -54.141830, 13.334352, 92, human
503, -61.972385, 31.962667, 84, leg
504, -70.684189, 14.678441, 94, close
505, -70.164330, 24.800535, 94, keep
506, -63.601757, 24.914907, 94, becoming
507, -72.309944, 21.794115, 94, thing
508, -55.652290, 33.843769, 90, ministry
509, -50.549320, 16.557899, 80, francis
510, -56.931927, 11.276125, 88, west
511, -58.978527, 21.762506, 86, paul
512, -53.597206, 28.660543, 92, charles
513, -70.837685, 22.217232, 92, must
514, -50.521381, 9.319916, 88, openly
515, -67.889740, 16.301577, 78, run
516, -70.132309, 14.129152, 40, shelly
517, -47.756321, 14.522935, 88, corner
518, -72.268990, 12.990071, 92, looked
519, -66.466156, 16.546818, 88, sense
520, -72.786736, 21.338383, 88, casino
521, -67.006844, 26.142139, 82, face
522, -67.024384, 27.727196, 90, ask
523, -50.918713, 8.744584, 90, leaders
524, -68.744057, 14.289002, 88, words
525, -54.216202, 21.596954, 90, control
526, -72.850563, 17.665821, 90, arrested
527, -70.422905, 21.662462, 90, saw
528, -52.386311, 5.123987, 84, fact
529, -62.482277, 17.210844, 86, education
530, -58.937290, 16.378731, 90, november
531, -49.477863, 26.751087, 90, reports
532, -53.118351, 20.037209, 76, matthews
533, -65.041779, -2.199732, 86, orientation
534, -65.487534, 25.156672, 86, policy
535, -47.345387, 20.186464, 88, supreme
536, -62.951981, 21.351669, 86, jobs
537, -64.257820, 16.129652, 88, try
538, -56.882965, 19.819117, 62, governor
539, -64.307381, 18.956356, 86, park
540, -50.920349, 7.946302, 88, freedom
541, -64.664261, 17.153027, 84, death
542, -70.500954, 9.393964, 88, think
543, -58.141785, 17.290085, 88, described
544, -69.588737, 22.645855, 82, great
545, -48.474087, 31.676628, 88, articles
546, -55.578556, 11.595198, 86, hearing
547, -72.029190, 12.113256, 86, quite
548, -54.299995, 12.986213, 86, minority
549, -61.899841, 15.932675, 86, war
550, -66.016281, 20.257835, 86, majority
551, -65.441849, 23.537724, 86, treatment
552, -65.967438, 31.199266, 86, approach
553, -66.236214, 16.503239, 86, idea
554, -69.596298, 22.996513, 84, live
555, -50.582455, 27.797041, 86, following
556, -57.182236, 15.116408, 86, september
557, -62.297821, 22.753439, 84, churches
558, -57.980118, 39.566307, 76, feminist
559, -63.969131, 30.057859, 10, co
560, -61.594891, 21.981380, 84, percent
561, -62.893047, 18.958334, 84, questions
562, -66.793709, 27.973520, 86, showed
563, -59.511395, 20.431589, 84, drug
564, -60.839016, 14.852573, 78, francisco
565, -66.953415, 27.607342, 82, number
566, -71.597672, 17.546680, 80, ended
567, -51.355915, 14.902240, 86, psychiatric
568, -51.538353, 9.467004, 84, formed
569, -62.202480, 22.353817, 70, pro
570, -65.370613, 9.088883, 84, question
571, -62.521317, 29.154211, 80, blood
572, -68.755089, 16.963774, 82, suggested
573, -66.525139, 22.468855, 82, saloons
574, -70.041832, 22.184206, 84, believed
575, -62.873112, 16.634895, 82, town
576, -61.710491, 10.125142, 82, harassment
577, -53.410255, 20.135691, 84, united
578, -61.985092, 28.463207, 82, past
579, -66.731415, 17.574774, 80, military
580, -61.962914, 11.885002, 46, middle
581, -64.493225, 14.053043, 84, real
582, -53.408440, 17.566437, 84, federal
583, -66.473526, 17.313837, 84, toward
584, -72.259071, 14.163973, 84, recalled
585, -66.142189, 26.649746, 68, air
586, -66.961258, 8.467302, 84, visible
587, -65.071220, 10.570745, 84, outside
588, -67.061157, 27.200729, 84, final
589, -70.640854, 21.485903, 80, child
590, -72.137985, 11.833001, 80, anything
591, -53.051998, 20.103651, 78, mark
592, -66.748962, 23.064972, 78, however
593, -71.605606, 11.580749, 82, done
594, -49.156277, 28.096508, 76, j
595, -68.643288, 18.175127, 82, lost
596, -65.175995, 9.846169, 82, create
597, -69.865982, 13.986341, 80, stage
598, -70.018845, 10.209932, 78, last
599, -58.264015, 11.637993, 80, oral
600, -69.263161, 19.392891, 80, give
601, -68.623611, 16.889919, 78, free
602, -54.142918, 18.237106, 64, prosecutor
603, -62.268616, 23.933931, 78, strategy
604, -51.334667, 14.857311, 82, cases
605, -67.487289, 9.211385, 82, clear
606, -48.345882, 25.521326, 80, warren
607, -69.822472, 24.177727, 78, sexuality
608, -55.503235, 29.888145, 80, michael
609, -70.060402, 21.233847, 80, stop
610, -65.586601, 13.288053, 72, safe
611, -68.540627, 24.179333, 80, behavior
612, -59.598370, 14.183101, 80, opened
613, -49.793331, 16.274467, 78, repeal
614, -66.409431, 7.245450, 80, claimed
615, -61.905548, 5.958409, 76, statement
616, -50.962387, 16.923351, 70, gaylord
617, -71.802429, 3.929840, 80, conversation
618, -64.452919, 12.356148, 76, straight
619, -72.338890, 12.633155, 78, involved
620, -49.957676, 4.383793, 60, archdiocese
621, -51.596050, 6.417947, 60, sirico
622, -56.780632, 11.121055, 76, conference
623, -69.803963, 16.553942, 78, whatever
624, -72.556557, 20.714508, 78, walked
625, -68.576874, 19.475992, 76, acts
626, -61.764843, 29.476845, 10, su
627, -67.347794, 25.253830, 76, anyone
628, -60.099537, 20.379616, 68, ment
629, -67.228424, 23.256422, 78, directly
630, -69.937057, 13.981940, 78, gone
631, -63.101959, 23.058592, 76, workers
632, -68.481987, 15.216687, 76, underground
633, -64.166855, 12.132133, 76, seen
634, -64.345787, 18.142656, 68, single
635, -64.788940, 24.510681, 68, building
636, -69.559814, 11.621945, 74, decade
637, -60.052795, 13.562619, 74, program
638, -70.184456, 10.132019, 74, leave
639, -72.507332, 21.652018, 76, pay
640, -49.464207, 2.728210, 30, author
641, -67.778481, 19.277027, 60, light
642, -60.486626, 19.272249, 76, reverend
